id,brand,category,name,new_size,rating,number_of_reviews,love,price,value_price,URL,MarketingFlags,MarketingFlags_content,options,details,how_to_use,ingredients,online_only,exclusive,limited_edition,limited_time_offer
1417567,Acqua Di Parma,Perfume,Arancia di Capri,5,4.5,26,2600,180,180,https://www.sephora.com/product/blu-mediterraneo-arancia-di-capri-P375388?icid2=products grid:p375388,TRUE,online only, - 1oz/30mL Eau de Toilette  - 2.5 oz/ 74 mL Eau de Toilette Spray - 5 oz/ 148 mL Eau de Toilette Spray ,Fragrance Family: Fresh Scent Type: Fresh Citrus & FruitsKey Notes: Caramel- Grapefruit- OrangeFragrance Description: A symbol of the Italian Mediterranean and the island of Capri- this fragrance is sunny- relaxing- and carefree. In the air- hints of Italian citrus and the warm aroma of caramel blend together to create a pure moment of bliss- just like being on vacation.A universally appealing fragrance- this scent features notes of sweet orange and mandarin mixed with creamy caramel and musk.,no instructions,Alcohol Denat.- Water- Fragrance- Limonene- Linalool- Ethylhexylmethoxycinnamate- Citral- Butylmethoxydibenzoylmethane- Ethylhexylsalicylate- Bht- Geraniol- Benzylalcohol- Citronellol- Tocopherol.Acqua di Parma product ingredient listings are updated periodically. Before using an Acqua di Parma product- please read the ingredient list on the packaging of your product to be sure that the ingredients are appropriate for your personal use.,1,0,0,0
1417617,Acqua Di Parma,Perfume,Mirto di Panarea,2.5,4.5,23,2900,120,120,https://www.sephora.com/product/blu-mediterraneo-mirto-di-panarea-P307804?icid2=products grid:p307804,TRUE,online only, - 1 oz/ 30 mL Eau de Toilette Spray - 2.5 oz/ 74 mL Eau de Toilette Spray  - 5 oz/ 148 mL Eau de Toilette Spray,"Panarea near Sicily is an an island suspended in time. The smallest and oldest of the Eolie islands- its essence is brought to life in this revitalizing fragrance. 

A scent characterized by the aromatic notes of myrtle and basil- it opens with lemon and bergamot. At the heart- a sea breeze accord melts with jasmine and rose. Its intense base includes lentisc and juniper with cedarwood and amber.

Notes:
Myrtle- Basil- Lemon- Bergamot- Sea Breeze Accord- Jasmine- Rose- Lentisc- Juniper- Cedarwood- and Amber.

Style:
Revitalizing. Intense. Aromatic. 
",no instructions,unknown,1,0,0,0
1417609,Acqua Di Parma,Perfume,Fico di Amalfi,5,4.5,79,2600,180,180,https://www.sephora.com/product/blu-mediterraneo-fico-di-amalfi-P307801?icid2=products grid:p307801,TRUE,online only, - 1oz/30mL Eau de Toilette  - 2.5 oz/ 74 mL Eau de Toilette Spray - 5 oz/ 148 mL Eau de Toilette Spray ,Fragrance Family: Floral Scent Type: Fruity FloralsKey Notes: Bergamot- Cedarwood- FigFragrance Description: The Amalfi Coast: itâ€™s one of the most breathtaking places on Earth. This floral- woody- and citrusy fragrance calls to mind this breathtaking stretch of Mediterranean coastline with a strong- energizing effect. A unique combination of notes- including bergamot- lemon- grapefruit- and citron open the fragrance. Fig nectar- pink pepper- and jasmine petals are blended at the heart and base notes of fig wood- cedarwood- and benzoin follow.,no instructions,unknown,1,0,0,0
1638832,Acqua Di Parma,Perfume,Rosa Nobile,3.4,4.5,79,5000,210,210,https://www.sephora.com/product/rosa-nobile-P388670?icid2=products grid:p388670,TRUE,online only," - 0.7 oz, 20 mL Eau de Parfum Spray - 1.7 oz/ 50 mL Eau de Parfum Spray - 3.4 oz/ 101 mL Eau de Parfum Spray ","Fragrance Family: Floral

Scent Type: Classic Florals

Key Notes: Mandarin- Musk- Violet- Rose Absolute

Fragrance Description: Acqua di Parma's Rosa Nobile fragrance celebrates the preciousness and elegance of the rose- the queen of flowers. The exquisite fragrance opens with soft- vibrant notes of Sicilian mandarin and Calabrian bergamot. The heart reveals velvety accents of peony- violet- and lily of the valley- which perfectly complement the richness of the centifolia rose from Italy. The fragrance concludes with a sublime dry down of cedarwood- ambergris- and musk. Refined and timeless- Rosa Nobile celebrates the beauty and allure of innate feminine charm.
",no instructions,unknown,1,0,0,0
2221596,Acqua Di Parma,Perfume,Rosa Nobile Hair Mist,1.7,3,5,2100,58,58,https://www.sephora.com/product/rosa-nobile-hair-mist-P444120?icid2=products grid:p444120,TRUE,exclusive Â· online only, - 1.7oz/50mL  Hair Mist ,"Fragrance Family: Floral

Scent Type: Classic Florals

Key Notes: Mandarin- Musk- Violet- Rose Absolute

Fragrance Description: A new Le Nobili beauty ritual leaves your hair delicately scented. The delicate notes of Rosa become the main characters of the fragrance experience in which the scent is enhanced by the natural movement of the hair. The formula is enriched with a conditioning agent to leave the hair shiny and soft.
Acqua di Parma's Rosa Nobile fragrance celebrates the preciousness and elegance of the rose- the queen of flowers. The exquisite fragrance opens with soft- vibrant notes of Sicilian mandarin and Calabrian bergamot. The heart reveals velvety accents of peony- violet- and lily of the valley- which perfectly complement the richness of the centifolia rose from Italy. The fragrance concludes with a sublime dry down of cedarwood- ambergris- and musk. Refined and timeless- Rosa Nobile celebrates the beauty and allure of innate feminine charm.

This product is an Allure Best of Beauty award winner.
",Suggested Usage:-Spray over your hair to leave it delicately scented with the notes of Rosa Nobile.,unknown,1,1,0,0
2243699,Acqua Di Parma,Perfume,Cipresso di Toscana,2.5,3.5,3,87,120,120,https://www.sephora.com/product/blu-mediterraneo-cipresso-di-toscana-P447763?icid2=products grid:p447763,TRUE,online only, - 1 oz / 30 mL Eau de Toilette Spray - 2.5 oz / 75 mL Eau de Toilette Spray ,Fragrance Family: Earthy & WoodyScent Type: Citrus & WoodsKey Notes: Orange- Lavandin- CypressFragrance Description: The fragrance opens with top notes of Star Anise and Elemi- evoking a lively breeze- combined with notes of Orange and Petit Grain. At the heart of the composition- Sage and Lavender bring an aromatic note while notes of Cypress and Pine evoke the sensation of tranquil wellbeing.About the Bottle: This fragrance comes in an art deco style glass bottle.,Suggested Usage:-Fragrance is intensified by the warmth of your own body. Apply in the creases of your knees and elbows for a longer-lasting- stronger scent.Â -After applying- avoid rubbing or dabbing skin. This breaks down the fragrance- causing it to wear off more quickly.Â -If you prefer placing fragrance on your wrists- be sure to reapply after frequent hand-washing- as this tends to rinse off the scent.Â -Replace fragrance after 12 months. Expired perfumes more than a year old lose the integrity of the original scent. Eau de Toilette or Eau de Parfum?: The difference lies in the volume of perfume oil. While EDT contains five to nine percent- EDP contains more- usually eight to 14 percent. EDPs- therefore- last longer and smell more intense.,unknown,1,0,0,0
1417633,Acqua Di Parma,Perfume,Bergamotto di Calabria,2.5,4.5,16,1900,120,120,https://www.sephora.com/product/blu-mediterraneo-bergamotto-di-calabria-P307802?icid2=products grid:p307802,FALSE,0, - 1 oz/ 30 mL Eau de Toilette Spray - 2.5 oz/ 74 mL Eau de Toilette Spray ,"The land of Calabria is strong and intense. Only here does authentic bergamot find its natural habitat. Its sparkling notes appear at the onset of this joyful and uplifting fragrance and are enhanced by the freshness of citron- red ginger- and cedarwood. At the base- an unprecedented combination of vetiver- benzoin- and musk emerges.

Notes:
Bergamot- Citron- Red Ginger- Cedarwood. Vetiver- Benzoin- and Musk. 

Style:
Joyful. Uplifting. Unique. ",no instructions,unknown,0,0,0,0
1886621,Acqua Di Parma,Perfume,Peonia Nobile,1.7,4.5,19,2300,142,142,https://www.sephora.com/product/peonia-nobile-P413669?icid2=products grid:p413669,TRUE,online only, - 0.70oz/20mL Eau de Parfum Spray - 1.7 oz/ 50 mL Eau de Parfum Spray  - 3.4 oz/ 100 mL Eau de Parfum Spray,Fragrance Family: FloralScent Type: Classic FloralsKey Notes: PeonyFragrance Description: A refined interpretation of the peony flower unveils its sublime elegance in this fragrance. Vibrant accents of black pepper blended with soft notes of raspberry characterize the opening of the bouquet. The intense floral heart reveals sumptuous notes of peony combined with the brightness of geranium. An enveloping harmony evolves into the base- where the velvety and captivating tones of amber embrace the melting notes of patchouli. All Acqua Di Parma products are handcrafted in Italy where the artisanal tradition is handed down from generation to generation.,no instructions,Alcohol Denat.- Fragrance- Water- Citronellol- Hexylcinnamal- Linalool- Hydroxycitronellal- Alpha-Isomethylionone- Ethylhexylmethoxycinnamate- Geraniol- Alcohol- Butylmethoxydibenzoylmethane- Ethylhexylsalicylate- Bht- Limonene- Citral- Methyl2-Octynoate- Tocopherol- Ci14700 (Red4)- Ci60730 (Ext.Violet2)- Ci19140 (Yellow5).Acqua di Parma product ingredient listings are updated periodically. Before using an Acqua di Parma product- please read the ingredient list on the packaging of your product to be sure that the ingredients are appropriate for your personal use.,1,0,0,0
1417575,Acqua Di Parma,Perfume,Mandorlo di Sicilia,2.5,4.5,44,2900,120,120,https://www.sephora.com/product/blu-mediterraneo-mandorlo-di-sicilia-P307803?icid2=products grid:p307803,TRUE,online only, - 1oz/30mL Eau de Toilette  - 2.5 oz/ 74 mL Eau de Toilette Spray  - 5 oz/ 148 mL Eau de Toilette Spray,Fragrance Family: Floral Scent Type: Warm FloralsKey Notes: Musk- Vanilla- AlmondFragrance Description: Sicily is a crossroads of art and culture- with the almond as part of the local tastes and traditions. Known in Italian as Mandorlo di Sicilia- the soothing appeal of Sicilian almond opens this delicious fragrance. Its sweet caress joins notes of star anise- bergamot- and orange. The fragranceâ€™s heart blends green Mediterranean almond and ylang-ylang before base notes of cedarwood- vanilla- and white musk emerge. ,no instructions,unknown,1,0,0,0
2339661,Acqua Di Parma,Perfume,Camelia Eau de Parfum,3.4,0,0,143,275,275,https://www.sephora.com/product/acqua-di-parma-camelia-P456170?icid2=products grid:p456170,TRUE,online only, - 0.68 oz/ 20 mL Eau de Parfum Spray - 3.4 oz/ 100 mL Eau de Parfum Spray ,Fragrance Family: FloralsScent Type: Fresh FloralsKey Notes: Bergamot- Camelia- MuskFragrance Description: The flower's elegant scent is recreated and combined with notes of bergamot- magnolia- clary sage- and jasmine sambac for a sophisticated and fascinating fragrance. ,Suggested Usage:-Fragrance is intensified by the warmth of your own body. Apply in the creases of your knees and elbows for a longer-lasting- stronger scent.Â -After applying- avoid rubbing or dabbing skin. This breaks down the fragrance- causing it to wear off more quickly.Â -If you prefer placing fragrance on your wrists- be sure to reapply after frequent hand-washing- as this tends to rinse off the scent.Â -Replace fragrance after 12 months. Expired perfumes more than a year old lose the integrity of the original scent. Eau de Toilette or Eau de Parfum?: The difference lies in the volume of perfume oil. While EDT contains five to nine percent- EDP contains more- usually eight to 14 percent. EDPs- therefore- last longer and smell more intense.,unknown,1,0,0,0
